Rank,Player,Total Points,Total Tomes,Phase 1 Tomes,Phase 1 Points,Phase 2 Tomes,Phase 2 Points,Phase 3 Tomes,Phase 3 Points,Phase 4 Tomes,Phase 4 Points,Phase 5 Tomes,Phase 5 Points,Phase 6 Tomes,Phase 6 Points,Phase 7 Tomes,Phase 7 Points
1,VioletMaze,129,260,1,16,16,21,42,25,70,25,72,21,59,21,0,0
2,Rawrdardian,128,265,3,18,9,18,18,12,54,21,60,18,86,25,35,16
3,OnarReshana,90,109,1,16,6,12,13,10,21,14,32,16,35,16,1,6
4,Fumblesocks,82,95,3,18,18,25,30,21,44,18,0,0,0,0,0,0
5,Noxitu,70,191,0,0,0,0,13,10,33,16,11,8,54,18,80,18
6,Dinosair,68,149,0,0,1,8,21,16,12,9,24,14,0,0,91,21
7,Bavadn,62,52,1,16,7,14,0,0,10,8,1,2,29,14,4,8
8,MrMuffin72,60,51,3,18,3,10,24,18,21,14,0,0,0,0,0,0
8,TangerineTrip,60,45,1,16,2,9,0,0,16,10,3,4,10,9,13,12
9,ErnieCarries,59,42,1,16,3,10,6,7,8,6,0,0,14,10,10,10
10,Shockwave13,57,61,0,0,3,10,7,8,5,4,12,9,17,12,17,14
11,pepperoni365,54,183,0,0,0,0,1,3,0,0,18,12,29,14,135,25
12,DDRKhat,52,35,9,25,6,12,0,0,10,8,10,7,0,0,0,0
13,mrfireflyer,46,24,1,16,1,8,6,7,4,3,5,5,7,7,0,0
14,CaliberSeven,45,41,1,16,0,0,12,9,17,12,11,8,0,0,0,0
15,top_of_the_hat,43,29,1,16,1,8,20,14,7,5,0,0,0,0,0,0
16,Jawg,40,34,0,0,3,10,0,0,9,7,7,6,8,8,7,9
17,Hixx27,35,86,0,0,2,9,0,0,2,1,82,25,0,0,0,0
18,InaByt,33,23,6,21,0,0,0,0,3,2,14,10,0,0,0,0
18,Songtronix,33,10,1,16,2,9,2,4,5,4,0,0,0,0,0,0
19,Horothger,30,9,3,18,6,12,0,0,0,0,0,0,0,0,0,0
19,PRESTIGE_ACES,30,6,1,16,3,10,2,4,0,0,0,0,0,0,0,0
20,DeathMuffins,26,17,0,0,8,16,3,5,1,0,5,5,0,0,0,0
21,Potterfanta,18,3,3,18,0,0,0,0,0,0,0,0,0,0,0,0
21,xxvojtas,18,3,3,18,0,0,0,0,0,0,0,0,0,0,0,0
22,SirQuakz,16,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0
23,Flare4706,14,7,0,0,7,14,0,0,0,0,0,0,0,0,0,0
24,ZetaTheProto,13,6,0,0,0,0,0,0,0,0,0,0,3,6,3,7
25,FrustratedCPU,12,4,0,0,1,8,0,0,0,0,3,4,0,0,0,0
26,PeakGalaxy73634,10,3,0,0,3,10,0,0,0,0,0,0,0,0,0,0
26,RISEcadog,10,3,0,0,3,10,0,0,0,0,0,0,0,0,0,0
27,edihau,9,12,0,0,0,0,0,0,12,9,0,0,0,0,0,0
28,Stranger_Time1,8,1,0,0,1,8,0,0,0,0,0,0,0,0,0,0
28,Kaileh57,8,1,0,0,1,8,0,0,0,0,0,0,0,0,0,0
28,JackGerardot,8,1,0,0,1,8,0,0,0,0,0,0,0,0,0,0
28,MajorSunshine,8,6,0,0,0,0,4,6,1,0,1,2,0,0,0,0
28,House_404,8,5,0,0,0,0,2,4,0,0,3,4,0,0,0,0
28,4Ply,8,2,0,0,0,0,0,0,0,0,1,2,0,0,1,6
29,JudahOMG,6,3,0,0,0,0,0,0,0,0,0,0,3,6,0,0
29,Valendr0s,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6
30,Shorju,5,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0
31,FruitFalls,3,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0
31,Jack101MB,3,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0
31,Sleepy_Auri,3,2,0,0,0,0,0,0,0,0,2,3,0,0,0,0
32,PencilGames,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
32,THEaidanblocks,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0